register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿99400593853,Activitat 'Marxa nòrdica',,,2018-06-06T10:00:12+02:00,2022-05-30T13:45:12.973272+02:00,,,,,,,,,,,,Barcelona,True,,,,,,,,,,,,,,,,,
﻿144170134,Visita al Pailebot Santa Eulàlia al Moll de la Fusta,,,2000-05-23T00:00:00+02:00,2021-11-15T17:33:46.347033+01:00,,,540529,Moll Bosch i Alsina,2,,02,el Barri Gòtic,01,Ciutat Vella,08039,BARCELONA,True,,,,,,,,,,,,,,431592.78107179375,4581165.875053899,41.379107957738874,2.181909578784268
﻿99400579929,Casal d'estiu 'El mite d'Arkadios' per a infants i adolescents de 3 a 12 anys a l'Escola Ramón Llull,,,2018-03-16T10:03:37+01:00,2022-03-16T10:25:09.504265+01:00,,,144601,Av Diagonal,275,,05,el Fort Pienc,02,Eixample,08013,BARCELONA,True,,396454,20006,Telèfons,Informació,932806006,False,Contacte de suport per a inscripcions: dimarts de 16:30 a 18 h i dissabte de 11 a 14 h telefònicament i també a través del mail,,,,,,431272.1736945114,4583587.472360917,41.40089123271555,2.1778010071630134
﻿99400580001,Campus Olímpia Específic de 'Pàdel amb piscina' per a infants i adolescents de 8 a 12 anys al CEM l'Espanya Industrial,,,2018-03-16T13:01:47+01:00,2022-04-22T10:47:17.340816+02:00,,,223504,C Muntadas,37,,15,Hostafrancs,03,Sants-Montjuïc,08014,BARCELONA,True,,396254,20006,Telèfons,Informació,934267973,False,Suport per a preinscripcions/inscripcions: De dilluns a divendres de 8.00 a 15.00 i de 15.00 a 21.00 hores.,,,,,,428286.229271899,4580931.759653831,41.37671146324603,2.142397968303214
﻿99400580179,Casal d'estiu 'Deixem petjada' per a infants i adolescents de 3 a 12 anys a l'Escola Cavall Bernat,,,2018-03-17T10:57:31+01:00,2022-03-28T11:10:29.715263+02:00,,,030602,Rbla Badal,113,,16,la Bordeta,03,Sants-Montjuïc,08014,BARCELONA,True,,400949,20006,Telèfons,Informació,623045625,False,Telèfon de suport. Divendres de 16 a 18 h i idssabtes de 11 a 13 h.,,,,,,427405.751967004,4580313.008506319,41.37105966126944,2.131943869848651
﻿99400580319,Precampus Olímpia per a infants de 3 a 5 anys al CEM Can Ricart,,,2018-03-19T08:11:37+01:00,2022-04-20T09:58:57.430273+02:00,,,308301,C Sant Oleguer,8,,01,el Raval,01,Ciutat Vella,08001,BARCELONA,True,,395340,20006,Telèfons,Informació,934 417 526,False,Suport telefònic per a les inscripcions de dilluns a divendres de 9 a 14 i de 17 a 21h dissabte de 9 a 14 i de 15 a 19h. (diumenge de 10 a 14h),,,,,,430668.6320968196,4580975.126727538,41.37731084646637,2.1708804895915366
﻿1298115921,Dates de la Festa Major,,,2001-10-25T00:00:00+02:00,2022-06-01T13:48:47.570971+02:00,,,062609,Av Icària,200,,67,la Vila Olímpica del Poblenou,10,Sant Martí,08005,BARCELONA,True,,,,,,,,,,,,,,433157.4305346637,4582794.7434716895,41.39391027420721,2.2004399294461834
﻿99400513459,Arribada de la Flama del Canigó a Horta,,,2017-06-15T11:01:42+02:00,2022-05-27T13:01:50.842426+02:00,,,159507,Plaça d'Eivissa,1,1,43,Horta,07,Horta-Guinardó,08032,Barcelona,True,,,,,,,,,,,,,,429925.91612771,4586848.70804595,41.43014774041478,2.1613194412675187
﻿99400513639,"Fira ""Born Street Food""",,,2017-06-16T12:12:28+02:00,2022-06-14T12:58:34.645784+02:00,,,240707,Pla Palau,,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,BARCELONA,True,,,,,,,,,,,,,,431714.4437921773,4581642.088430603,41.38340741424206,2.183310754340686
﻿99400487085,Casal d'estiu per a infants i adolescents de 3 a 12 anys al Centre Educatiu Sant Medir,,,2017-03-22T08:32:56+01:00,2022-03-28T11:05:54.484325+02:00,,,089707,C Constitució,15,,16,la Bordeta,03,Sants-Montjuïc,08014,BARCELONA,True,,400905,20006,Telèfons,Informació,933668606,False,"Telèfon de suport. Dilluns de 8.30 a 10.30 h, dimecres de 16 a 18 h i dissabtes de 9 a 14h.",,,,,,427902.0251681852,4580183.57587625,41.36993851664152,2.1378928721475967
﻿99400487145,Bressol d'estiu per a infants de 1 a 3 anys a l'EBM Guinardó,,,2017-03-22T11:20:13+01:00,2022-04-21T12:07:42.406945+02:00,,,334403,C Teodor Llorente,16,,35,el Guinardó,07,Horta-Guinardó,08041,BARCELONA,True,,400793,20006,Telèfons,Informació,933036946,False,"Suport per a les inscripcions Preincripcions on-line del 25 d'abril al 6 de maig de 2021. Suport per a preinscripcions amb cita prèvia: Dimarts de 9 a 10.30 h, dijous de 15.30 a 17 h i dissabtes de 10 a 12.",,,,,,431421.00682821474,4585650.062279907,41.419481007343315,2.1793475773360025
﻿99400595495,Revetlla de Sant Joan de Trinitat Vella,,,2018-06-21T13:51:45+02:00,2022-06-03T12:28:09.621344+02:00,,,314100,Pg Santa Coloma,60,,60,Sant Andreu,09,Sant Andreu,08030,BARCELONA,True,,,,,,,,,,,,,,432814.485640381,4588944.298465399,41.44926882521931,2.1956548753915466
﻿1302161826,Dates de Festa Major,,,2001-10-29T00:00:00+01:00,2022-05-04T11:19:46.641755+02:00,,,212304,C Mina de la Ciutat,70,,50,les Roquetes,08,Nou Barris,08042,BARCELONA,True,,,,,,,,,,,,,,431161.5096956223,4588840.984139322,41.44819825365974,2.175879162088962
﻿1299140408,Exposició permanent del Museu Picasso,,,2001-10-26T00:00:00+02:00,2021-11-15T17:02:56.595546+01:00,,,217501,Carrer de Montcada,15,23,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,Barcelona,True,,,,,,,,,,,,,,431510.87727794005,4581841.66611687,41.385187649272225,2.180853795205005
﻿2042164840,Visites audioguiades a la Casa Batlló,,,2002-02-11T00:00:00+01:00,2021-10-05T14:10:15.389280+02:00,,,148307,Pg Gràcia,43,,07,la Dreta de l'Eixample,02,Eixample,08007,BARCELONA,True,,,,,,,,,,,,,,430189.32442423375,4582581.247954864,41.39173522253645,2.1649640719737016
﻿1344102524,Processó de Corpus Christi,,,2001-12-10T00:00:00+01:00,2022-06-03T08:36:03.529965+02:00,,,094208,Pla Seu,3,,02,el Barri Gòtic,01,Ciutat Vella,08002,BARCELONA,False,,,,,,,,,,,,,,431118.75456199766,4581746.454291235,41.38429662536457,2.176175202471164
﻿99400621373,Casal d'estiu 'Jove' per a infants i adolescents de 10 a 14 anys a l'Escola Casas,,,2019-03-04T08:50:20+01:00,2022-03-23T13:31:34.024527+01:00,,,305507,C Sant Joan de Malta,44,,65,el Clot,10,Sant Martí,08018,BARCELONA,True,,401852,20006,Telèfons,Informació,933573519,False,Suport telefònic per a les inscripcions dilluns de 16 a 19 h i dissabte 10 a 13:30 h,,,,,,432533.8432695935,4584417.862516701,41.408477172101314,2.1928004974046797
﻿99400621385,"Casal d'Estiu 'Activitat adaptada: Paideia' per a infants, adolescents i joves de 5 a 21 anys al Centre d'Educació Especial Paideia",,,2019-03-04T09:58:14+01:00,2022-04-06T13:53:03.728342+02:00,,,219100,C Montnegre,36,,19,les Corts,04,Les Corts,08029,BARCELONA,True,,398508,20006,Telèfons,Informació,932037564,False,"uport per a les inscripcions dilluns i divendres de 10.30  a 13.30 hores, dimecres de 10.30 a 13.30 i de 15.30 a 17.30 hores i dissabte de de 9.30 a 12.30 hores. 2 h i de 15 a 17 h, suport telefònic o a través de l'email de l'entitat",,,,,,428066.04714565125,4582181.695408271,41.387949509337645,2.139616783345038
﻿99400630011,9è Cicle Història i música de Barcelona -  Concerts a la plaça de la Natura,,,2019-06-18T13:55:04+02:00,2022-06-10T11:06:16.961193+02:00,,,234908,C Olot,7,,30,la Salut,06,Gràcia,08024,BARCELONA,True,,,,,,,,,,,,,,429223.3613020187,4585008.180084515,41.41350925781701,2.153127208234728
﻿99400639853,Recorregut fotografies itineraris,,,2019-10-26T13:26:30+02:00,2021-03-03T22:13:56.081431+01:00,,,701157,C Luz Casanova,4,,51,Verdun,08,Nou Barris,08042,BARCELONA,True,,,,,,,,,,,,,,431081.76756789454,4588358.410822659,41.44384506469325,2.174979662227258
﻿2025121918,Exposició permanent  'Col·lecció d'escultura',,,2002-01-25T00:00:00+01:00,2021-06-16T11:05:14.772277+02:00,,,303454,Plaça de Sant Iu,5,,02,el Barri Gòtic,01,Ciutat Vella,08002,Barcelona,True,,,,,,,,,,,,,,431184.0139297747,4581735.716409316,41.38420549734736,2.17695685162379
﻿99400641149,Visita dinamitzada 'L'arquitectura del Palau Nacional a través dels sentits',,,2019-11-14T10:12:58+01:00,2021-11-23T11:26:06.082130+01:00,,,700068,C Mirador Palau Nacional,6,,11,el Poble-sec,03,Sants-Montjuïc,08004,BARCELONA,True,,,,,,,,,,,,,,429196.1856084345,4580053.861416355,41.368885103834,2.1533812278994167
