neighborhood,nbh_id:ID(Neighborhood)
el Besòs i el Maresme,1
les Roquetes,2
el Guinardó,3
el Putxet i el Farró,4
la Prosperitat,5
l'Antiga Esquerra de l'Eixample,6
la Font d'en Fargues,7
les Tres Torres,8
Sant Gervasi - la Bonanova,9
el Poblenou,10
la Teixonera,11
la Barceloneta,12
la Sagrera,13
la Verneda i la Pau,14
el Bon Pastor,15
Montbau,16
Diagonal Mar i el Front Marítim del Poblenou,17
Navas,18
Sants,19
Horta,20
el Congrés i els Indians,21
la Font de la Guatlla,22
Sarrià,23
Sant Martí de Provençals,24
Can Baró,25
el Baix Guinardó,26
Sant Genís dels Agudells,27
la Trinitat Vella,28
Sants - Badal,29
la Salut,30
Canyelles,31
Vallcarca i els Penitents,32
el Parc i la Llacuna del Poblenou,33
"Sant Pere, Santa Caterina i la Ribera",34
el Clot,35
la Nova Esquerra de l'Eixample,36
Baró de Viver,37
la Clota,38
les Corts,39
el Turó de la Peira,40
la Sagrada Família,41
el Camp de l'Arpa del Clot,42
la Maternitat i Sant Ramon,43
Pedralbes,44
el Camp d'en Grassot i Gràcia Nova,45
Provençals del Poblenou,46
la Vila Olímpica del Poblenou,47
Ciutat Meridiana,48
Sant Andreu,49
el Fort Pienc,50
la Dreta de l'Eixample,51
el Coll,52
el Poble-sec,53
la Marina del Prat Vermell,54
Sant Antoni,55
el Barri Gòtic,56
Verdun,57
la Marina de Port,58
Vilapicina i la Torre Llobeta,59
el Carmel,60
la Trinitat Nova,61
Sant Gervasi - Galvany,62
"Vallvidrera, el Tibidabo i les Planes",63
Hostafrancs,64
Porta,65
la Bordeta,66
Torre Baró,67
Can Peguera,68
el Raval,69
la Guineueta,70
Vallbona,71
la Vila de Gràcia,72
la Vall d'Hebron,73
